iter	AUC	Logloss
0	0.9967666566	0.6772555992
1	0.9998320341	0.6596040569
2	0.9998824	0.6419932881
3	0.9999831915	0.6261923118
4	1	0.6116121011
5	0.999966383	0.597229129
6	1	0.5838326626
7	1	0.5689001865
8	1	0.5555967737
9	1	0.5425054832
10	0.999966383	0.5313338608
11	1	0.5194986687
12	1	0.5088973124
13	1	0.4972042959
14	0.9999831915	0.4845970029
15	1	0.4733953945
16	0.9999831915	0.4642200783
17	0.9999831915	0.4531880676
18	1	0.4422884769
19	1	0.4318775427
20	1	0.4225741214
21	1	0.4133534666
22	1	0.4053718692
23	1	0.3971614525
24	1	0.3883678874
25	1	0.3806804907
26	1	0.3722242762
27	1	0.3645824995
28	1	0.3564490021
29	1	0.3491148714
30	1	0.342395376
31	1	0.3357347582
32	1	0.3292797589
33	1	0.3225332479
34	1	0.3160929445
35	1	0.3090643961
36	1	0.3032637424
37	1	0.2974526452
38	1	0.2909639077
39	1	0.2853104013
40	1	0.28012579
41	1	0.2751321636
42	1	0.2691241092
43	1	0.2635793217
44	1	0.257911432
45	1	0.252906299
46	1	0.2484005475
47	1	0.2427744475
48	1	0.2385881768
49	1	0.2339750665
50	1	0.2293236529
51	1	0.2253401709
52	1	0.2212638699
53	1	0.217516477
54	1	0.213334662
55	1	0.2099264176
56	1	0.2067088768
57	1	0.2028258277
58	1	0.1991726922
59	1	0.1962147541
60	1	0.1922719361
61	1	0.1889387037
62	1	0.1859914748
63	1	0.1825465531
64	1	0.1794790362
65	1	0.1763863798
66	1	0.17378904
67	1	0.1711296175
68	1	0.1681626117
69	1	0.1657474393
70	1	0.1631092322
71	1	0.1605585442
72	1	0.1586190833
73	1	0.1556267347
74	1	0.1532883879
75	1	0.1510477535
76	1	0.1487802287
77	1	0.1470492941
78	1	0.1449196456
79	1	0.1430736604
80	1	0.1409725752
81	1	0.1390177461
82	1	0.137056851
83	1	0.1351580073
84	1	0.1334608109
85	1	0.1319081979
86	1	0.129681939
87	1	0.1279404437
88	1	0.1263192755
89	1	0.1249033037
90	1	0.1229607004
91	1	0.1215370131
92	1	0.1201536929
93	1	0.1186274075
94	1	0.1171104791
95	1	0.1158368783
96	1	0.1141977388
97	1	0.1125051623
98	1	0.1112385109
99	1	0.1101234936
100	1	0.1086540066
101	1	0.1073230837
102	1	0.1059343541
103	1	0.1047179347
104	1	0.1036993246
105	1	0.1025554157
106	1	0.1013467273
107	1	0.1000917544
108	1	0.09893998943
109	1	0.09764515767
110	1	0.09655864903
111	1	0.09575291149
112	1	0.09477544222
113	1	0.09374295688
114	1	0.09278769571
115	1	0.09185523674
116	1	0.09090884787
117	1	0.0898836089
118	1	0.08902783472
119	1	0.08832856475
120	1	0.08745449879
121	1	0.08652995844
122	1	0.0856570494
123	1	0.08488505004
124	1	0.08407081541
125	1	0.08340288381
126	1	0.08230484509
127	1	0.08168497242
128	1	0.08105495328
129	1	0.08030237917
130	1	0.07969503715
131	1	0.07898846611
132	1	0.07823817456
133	1	0.07763368575
134	1	0.07702165353
135	1	0.07621628339
136	1	0.07548522949
137	1	0.07477119321
138	1	0.07411331427
139	1	0.07361827913
140	1	0.07298440621
141	1	0.07217576074
142	1	0.07162484966
143	1	0.07099411136
144	1	0.07047351462
145	1	0.06982089652
146	1	0.06926893015
147	1	0.06874699671
148	1	0.06815453826
149	1	0.06756704362
150	1	0.06706133045
151	1	0.0666118059
152	1	0.06618591996
153	1	0.06578633043
154	1	0.06526107866
155	1	0.06475340343
156	1	0.06419324484
157	1	0.06370293899
158	1	0.06319752678
159	1	0.06266158526
160	1	0.06218593629
161	1	0.06176455685
162	1	0.06128073129
163	1	0.06080892047
164	1	0.06025172843
165	1	0.05979886602
166	1	0.05941641917
167	1	0.05901104505
168	1	0.05854041459
169	1	0.05811664706
170	1	0.05766658314
171	1	0.05721441644
172	1	0.05684494972
173	1	0.05649669444
174	1	0.0561142554
175	1	0.05579328928
176	1	0.05544148899
177	1	0.05509689597
178	1	0.05471390974
179	1	0.05429742375
180	1	0.05383121772
181	1	0.0535194522
182	1	0.05311828363
183	1	0.05270664027
184	1	0.05236729638
185	1	0.05203988122
186	1	0.05167830968
187	1	0.0512246382
188	1	0.05086972674
189	1	0.05055995847
190	1	0.05024398741
191	1	0.04983429049
192	1	0.04957758012
193	1	0.0493330252
194	1	0.04893259142
195	1	0.04867864046
196	1	0.04837471931
197	1	0.0479698103
198	1	0.04773490546
199	1	0.04742994465
200	1	0.04720051562
201	1	0.04690500166
202	1	0.04651479252
203	1	0.04621832879
204	1	0.04593956275
205	1	0.04557296487
206	1	0.04531718473
207	1	0.04505037871
208	1	0.04477158922
209	1	0.04442236072
210	1	0.0441918764
211	1	0.04396652785
212	1	0.04367942497
213	1	0.04342019753
214	1	0.04321612686
215	1	0.04296585771
216	1	0.04270964763
217	1	0.0424397109
218	1	0.04225164945
219	1	0.04204334196
220	1	0.04188683776
221	1	0.0415873723
222	1	0.0413565323
223	1	0.04105454195
224	1	0.0408577919
225	1	0.0405855726
226	1	0.04038431215
227	1	0.04021583229
228	1	0.04004078224
229	1	0.03978833605
230	1	0.03953238784
231	1	0.0393461673
232	1	0.03918439834
233	1	0.03900708527
234	1	0.03883650264
235	1	0.03868211684
236	1	0.03845430202
237	1	0.03826779616
238	1	0.03804510148
239	1	0.03785311589
240	1	0.03763164849
241	1	0.03742238733
242	1	0.0372605441
243	1	0.0370478161
244	1	0.03680517244
245	1	0.03665842775
246	1	0.03638776404
247	1	0.03620511977
248	1	0.03598036532
249	1	0.03575998838
250	1	0.0355754094
251	1	0.0353973928
252	1	0.03524568433
253	1	0.03506272738
254	1	0.03487346211
255	1	0.03467573885
256	1	0.03454155218
257	1	0.03440094776
258	1	0.03425359726
259	1	0.03407425959
260	1	0.03390911368
261	1	0.03374773557
262	1	0.03355466733
263	1	0.0333761778
264	1	0.0331109
265	1	0.03298494855
266	1	0.03277499558
267	1	0.03262772521
268	1	0.03248728299
269	1	0.03236189631
270	1	0.03221135843
271	1	0.03202838194
272	1	0.03187226858
273	1	0.03173347966
274	1	0.03160346141
275	1	0.03145618908
276	1	0.03132642879
277	1	0.03118604715
278	1	0.03105143836
279	1	0.03086299388
280	1	0.0307550274
281	1	0.03058296931
282	1	0.03046256988
283	1	0.03030634904
284	1	0.03006343763
285	1	0.0299620472
286	1	0.02982117309
287	1	0.02968833876
288	1	0.02955758376
289	1	0.02940349501
290	1	0.02930099456
291	1	0.02917334682
292	1	0.0290569751
293	1	0.02889850882
294	1	0.02876313397
295	1	0.02865088572
296	1	0.02855649542
297	1	0.02847000615
298	1	0.0283561261
299	1	0.02824528295
