('HJURP', 1.1980061763153231)
('HK3', 0.908689126079436)
('HMGB3', 1.192891621371564)
('HOOK1', 1.0918359821799761)
('HORMAD1', 1.290843102779194)
('HPCAL1', 0.935765209459898)
('HS6ST2', 1.3402333116695633)
('HSPA12B', 0.8733027526944929)
('HYAL1', 0.8391613406516722)
('IARS2', 1.042353666613777)
('ICAM2', 0.8976604434336126)
('IGF2BP3', 1.354420530246551)
('IGFBP3', 1.0991397414004804)
('IGSF10', 0.8418365171044929)
('IGSF9', 1.187911427854331)
('IL3RA', 0.9240133757079432)
('ITGA8', 0.8442581763735716)
('ITIH5', 0.8528228437546155)
('ITM2A', 0.8885527903988305)
('JAK3', 1.0169416695356839)
('JAM2', 0.871200743725527)
('KCNK3', 0.873194436268595)
('KCNT2', 0.785684925079596)
('KDELR3', 1.1024103409822255)
('KDM5B', 1.0607735010543549)
('KIF20A', 1.2501590532561015)
('KIF26B', 1.2160411201769064)
('KIF2C', 1.191358618897425)
('KIF4A', 1.263800497862322)
('KISS1R', 1.2650801630141424)
('KLF2', 0.8878256222897176)
('KLF4', 0.8787086513614987)
('KLF6', 0.9314361231502144)
('KRTCAP3', 1.0885119577235622)
('LAD1', 1.1128798376766333)
('LAMP3', 0.8639904260445168)
('LAPTM4B', 1.0549783343586434)
('LDB2', 0.8533259704534849)
('LEPR', 0.8261894056306369)
('LGI3', 0.8886830212570417)
('LGSN', 1.312395442643938)
('LILRB2', 0.9295285438035157)
('LILRB5', 0.954031741839627)
('LIN7A', 0.8205075306689982)
('LMO2', 0.8960966482446301)
('LPL', 0.8422293724339497)
('LRRC1', 1.0262704826140518)
('LRRC36', 0.8248523090659318)
('LSR', 1.081621835764468)
('LYVE1', 0.8166532980760068)
('MAD2L1', 1.2408629721502706)
('MAGED1', 1.0588645947545503)
('MAMDC2', 0.7512052892162195)
('MAP7D2', 1.2464174172812446)
('MARCO', 0.8371774560355901)
('MATN3', 0.9125831618777165)
('MCEMP1', 0.7945690379840167)
('MCM2', 1.1417704317054596)
('MDK', 1.150883155012008)
('MEDAG', 0.9697101350648479)
('MELK', 1.249838813709005)
('MESP1', 1.0869148071836428)
('MFNG', 0.8969061501350423)
('MMP11', 1.1887553777153443)
('MMRN2', 0.8623891575538117)
('MNX1', 1.0895024258724475)
('MPP1', 0.9499136141437836)
('MS4A15', 0.8156489845343879)
('MS4A7', 0.892251655333872)
('MSI2', 1.0863963018620184)
('MTA3', 1.094011902019736)
('MYCT1', 0.8254103646136901)
('MYRF', 0.8496608382247437)
('NCKAP1', 1.0177946280049892)
('NCKAP5', 0.7193692592102605)
('NEK2', 1.3082413020253842)
('NELFCD', 1.0485870239809183)
('NET1', 1.0518854171568461)
('NHSL1', 0.8958979492469843)
('NIPSNAP1', 1.0681429038988852)
('NOSTRIN', 0.8054535944163985)
('NOX4', 1.1761093488629881)
('NPNT', 0.8583390820812279)
('NPR1', 0.9181017961049163)
('NREP', 1.0559403226989907)
('NUF2', 1.3464192895795324)
('NVL', 1.0451112308626034)
('OCIAD2', 1.110906243090833)
('ODAM', 0.867164770960613)
('OSCAR', 0.8571160430479946)
('OTUD1', 0.9184078485970899)
('P2RY14', 0.8438545830937859)
('PAFAH1B3', 1.1206541057940829)
('PALMD', 0.8509189713452647)
('PCOLCE2', 0.7973930145687131)
('PDLIM1', 0.9490049389632195)
('PDLIM2', 0.9065144493624003)
('PDPN', 0.9322674785697411)
('PDZD2', 0.8268944075300805)
('PEBP4', 0.7805735531000403)
('PERP', 1.0678165899963163)
('PFN2', 1.0896529707385114)
('PGM5', 0.8338472972792945)
('PHKA1', 1.1001294135027633)
('PIK3R5', 0.9148908331117074)
('PIP5K1B', 0.8173116678367734)
('PKDCC', 0.9177065082535579)
('PKIG', 0.9217380510965761)
('PKNOX2', 0.918259786803848)
('PKP3', 1.0788842308323365)
('PLA2G1B', 0.7729273449103312)
('PLEK2', 1.1126674587944103)
('PLEKHG4B', 1.1327688000842366)
('PMP22', 0.9289302924316329)
('PODXL2', 1.123388192340428)
('PPARG', 0.8579142004390655)
('PPBP', 0.7344410796903436)
('PROM2', 1.1241200917451375)
('PROS1', 0.9005581780827234)
('PSAT1', 1.261491896150958)
('PTGER4', 0.9077240656722589)
('PTPN21', 0.8520690073902065)
('PTPRB', 0.8165689093850786)
('PTPRM', 0.8908390192821329)
('PTPRZ1', 1.226082391042783)
('PYCR1', 1.1144315525171522)
('RAB11FIP1', 0.9249351530596162)
('RAB25', 1.0542072252966914)
('RAB8B', 0.9335350555354198)
('RAI2', 0.8622098506765709)
('RALGPS2', 1.1293488733062569)
('RAMP2', 0.8740661760067963)
('RAMP3', 0.8547323783191147)
('RASIP1', 0.8443053021848465)
('RGCC', 0.8820684239194923)
('RGS17', 1.2721267264352822)
('RHOJ', 0.8589238394827202)
('RILPL2', 0.9319832017663907)
('RMI2', 1.1932205904395459)
('ROBO4', 0.8429022076620695)
('RTKN2', 0.7373823650302858)
('RUSC1', 1.0590681267069042)
('RXFP1', 0.7834770072055742)
('S100A12', 0.7698911052215738)
('SCARA5', 0.8270174648435038)
('SCEL', 0.8174293230533077)
('SCN7A', 0.7814452990687465)
('SDPR', 0.7935829513755075)
('SEMA6A', 0.8703333765663244)
('SEPT4', 0.8908295997849078)
('SERINC2', 1.1254065192884515)
('SERTM1', 0.7276718779853348)
('SEZ6L2', 1.1041834827071313)
('SFTPA2', 0.8487464901966478)
('SFTPC', 0.808973216566744)
('SFTPD', 0.8186921993498142)
('SFXN1', 1.1076827753844956)
('SGCG', 0.7814440611817144)
('SH2D3C', 0.8809854547593237)
('SH3BP5', 0.9289857690939451)
('SH3GL3', 0.8678704459031656)
('SLC22A18', 1.0774285392325327)
('SLC2A1', 1.2282839087904096)
('SLC31A2', 0.9220957679711363)
('SLC39A8', 0.8825439703008331)
('SLC44A5', 1.2476220912623954)
('SLC46A2', 0.8080809917946765)
('SLC50A1', 1.0656153160572894)
('SLIT3', 0.8827234177710194)
('SMC1A', 1.0397236101969538)
('SOX4', 1.0639094842300896)
('SPARCL1', 0.9175509376295392)
('SPINT2', 1.053597106102297)
('SPOCK2', 0.8637033444805949)
('SRD5A1', 1.1623275940537459)
('SRPK1', 1.0672757722210033)
('ST6GALNAC5', 0.8419293352364808)
('STAP2', 1.0819085503314443)
('STARD13', 0.876603171902493)
('STARD8', 0.9055413282396666)
('STIL', 1.181699048089467)
('STK32A', 1.1134599511107497)
('STOM', 0.9403149716922448)
('STX11', 0.7959613649267946)
('STXBP6', 0.7838825633299535)
('STYK1', 1.1957717813157542)
('SUGCT', 1.1553670301692824)
('SULF1', 1.174798837245622)
('SUN1', 1.0060341374534203)
('SUSD2', 0.8346209883815167)
('SUSD4', 1.1219685219721607)
('TACC1', 0.9250081173549026)
('TCF21', 0.7820117135051244)
('TEK', 0.8186777095021817)
('TENM4', 1.1476596043404972)
('TFAP2A', 1.3053841090453664)
('THBD', 0.8658483294760695)
('THEMIS2', 0.9236498413141022)
('TIE1', 0.8471496634301492)
('TIMELESS', 1.122550464446938)
('TK1', 1.1605395511442573)
('TLCD1', 1.1109703224407659)
('TMEM100', 0.716939724080686)
('TMEM177', 1.1118472527734717)
('TMEM63C', 1.1050387509189874)
('TMEM74B', 0.8855260214976046)
('TMEM88', 0.898162439312204)
('TMEM99', 1.0850383013673326)
('TMOD1', 0.8945851933695369)
('TMPRSS4', 1.2712155175572242)
('TNNC1', 0.7445128000900382)
('TOM1L1', 1.0600790760906038)
('TOP2A', 1.340352675442506)
('TOX3', 1.2286600881561494)
('TPBG', 1.0962283056012503)
('TPD52', 1.0682639694842981)
('TREM1', 0.8926416409533335)
('TUBB6', 0.9320616015487633)
('TUFT1', 1.0598421547843269)
('TXNDC17', 1.0680212781932024)
('UBASH3A', 0.9834295141905952)
('UBE2C', 1.214866558209405)
('UBE2T', 1.2353488830218746)
('UGT8', 1.2585714527426266)
('VAMP5', 0.9306915130850668)
('VSIG2', 0.8989615351375347)
('VSIG4', 0.8867966383361923)
('WARS', 0.9542750985853617)
('WIF1', 0.7363308321788192)
('WISP2', 0.8428494967002534)
('XKRX', 1.1426551360641939)
('XPR1', 1.0931099613263833)
('ZEB2', 0.8847756358489126)
('ZNF750', 1.220497211042259)
